,Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Address,Cross Street,Location ,Year
30,1428639,170104918,01/16/2017,01/16/2017,820,1,Central,111,624,BATTERY - SIMPLE ASSAULT,1218 0416 2004,46.0,F,H,102.0,SIDEWALK,308.0,STICK,IC,Invest Cont,ARCADIA,SPRING,"(34.0565, -118.2411)",2017
44,1429591,170100514,01/07/2017,01/07/2017,1040,1,Central,159,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0346,63.0,M,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,7TH,DECATUR,"(34.0348, -118.235)",2017
57,1429604,170100537,01/16/2017,01/16/2017,5,1,Central,162,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1814 2000 0416 1300,20.0,F,W,102.0,SIDEWALK,307.0,VEHICLE,AO,Adult Other,8TH                          ST,OLIVE                        ST,"(34.0459, -118.2579)",2017
60,1429607,170100540,01/16/2017,01/16/2017,1955,1,Central,124,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0445 2004 0416,31.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,2ND,MAIN,"(34.0514, -118.2451)",2017
61,1429608,170100541,01/16/2017,01/16/2017,2315,1,Central,176,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 1501,52.0,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,8TH,WALL,"(34.0401, -118.2504)",2017
66,1429613,170100554,01/22/2017,01/21/2017,2340,1,Central,182,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0400,42.0,M,W,102.0,SIDEWALK,309.0,BOARD,IC,Invest Cont,GRAND,OLYMPIC,"(34.043, -118.2606)",2017
68,1429615,170100557,01/22/2017,01/22/2017,15,1,Central,154,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0431 0444 0416 1402,37.0,M,B,101.0,STREET,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,6TH,MAIN,"(34.0453, -118.2499)",2017
72,1429619,170100636,02/25/2017,02/25/2017,945,1,Central,138,761,BRANDISH WEAPON,2004 1402 0917 0334 1266,46.0,M,H,103.0,ALLEY,213.0,CLEAVER,IC,Invest Cont,BOYD,OMAR,"(34.046, -118.2417)",2017
75,1429622,170100568,01/26/2017,01/26/2017,1930,1,Central,166,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,25.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,7TH,SAN JULIAN,"(34.0407, -118.2468)",2017
76,1429623,170100572,01/28/2017,01/28/2017,1320,1,Central,148,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1218 1813 1814 0408 0444 0429,51.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,4TH,TOWNE,"(34.0444, -118.2407)",2017
78,1429625,170100574,01/29/2017,01/29/2017,1545,1,Central,174,210,ROBBERY,0448 0344 2004,23.0,M,H,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,9TH,LOS ANGELES,"(34.0407, -118.2541)",2017
85,1429632,170100587,02/03/2017,02/03/2017,1945,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,29.0,M,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,5TH                          ST,CROCKER,"(34.0435, -118.2427)",2017
89,1429636,170100593,02/07/2017,02/07/2017,1510,1,Central,155,624,BATTERY - SIMPLE ASSAULT,0417 0416 1402,56.0,M,O,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,6TH                          ST,WALL,"(34.0435, -118.2471)",2017
97,1429644,170100614,02/15/2017,02/15/2017,1630,1,Central,155,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0344 1402 0411 2004,58.0,M,B,102.0,SIDEWALK,207.0,OTHER KNIFE,AA,Adult Arrest,5TH                          ST,SAN JULIAN,"(34.0448, -118.2474)",2017
101,1429648,170100624,02/18/2017,02/18/2017,2022,1,Central,164,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0445 2004,29.0,M,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,6TH,LOS ANGELES,"(34.0446, -118.249)",2017
103,1429650,170100626,02/21/2017,02/21/2017,700,1,Central,185,210,ROBBERY,0400 0344 2004,46.0,M,H,252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",205.0,KITCHEN KNIFE,AA,Adult Arrest,8TH                          ST,LOS ANGELES,"(34.0388, -118.2574)",2017
104,1429651,170100629,02/22/2017,02/22/2017,30,1,Central,146,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 1218 2004 0445,52.0,M,B,102.0,SIDEWALK,207.0,OTHER KNIFE,AA,Adult Arrest,5TH,WALL,"(34.0449, -118.2458)",2017
111,1429658,170100644,02/26/2017,02/26/2017,1800,1,Central,162,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1218 1402,38.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,7TH,HOPE,"(34.048, -118.2577)",2017
113,1429660,170100646,02/28/2017,02/28/2017,1630,1,Central,152,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,53.0,M,W,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,6TH                          ST,HOPE                         ST,"(34.0495, -118.2563)",2017
116,1429663,170100657,03/05/2017,03/02/2017,2100,1,Central,159,860,BATTERY WITH SEXUAL CONTACT,0522 1501,24.0,F,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,4TH,ALAMEDA,"(34.0433, -118.2381)",2017
117,1429664,170100659,03/07/2017,03/07/2017,1230,1,Central,156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402 2004,54.0,F,B,102.0,SIDEWALK,308.0,STICK,AA,Adult Arrest,5TH                          ST,SAN PEDRO                    ST,"(34.0442, -118.2439)",2017
